Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000019	2016-12-31	B	C15	3.470586	105.457695	4.813017	76.043779	2.374108	0.756477	0.599962	0.252524	3.706631	0.12896	0.085365	0.11023	酒、饮料和精制茶制造业
000019	2017-12-31	A	C15	4.518127	80.785688	1.660025	219.876207	12.504826	0.682294	1.027663	0.55713	0.976451	0.566189	0.280812	0.31374	酒、饮料和精制茶制造业
000019	2017-12-31	B	C15	3.483701	104.77363	24.298427	15.021549	2.744964	0.959886	0.601179	0.314235	4.947013	0.166727	0.108931	0.142101	酒、饮料和精制茶制造业
000019	2018-12-31	A	C15	32.242106	11.3206	3.37154	108.259134	18.80035	4.189099	18.296019	2.613297	10.516878	5.189828	1.738094	2.589227	酒、饮料和精制茶制造业
000019	2018-12-31	B	C15	3.431976	106.352725	22.786994	16.017909	2.251058	1.245116	0.809705	0.36979	5.17073	0.062902	0.053758	0.05988	酒、饮料和精制茶制造业
000020	2016-12-31	A	C39	4.957823	73.822724	14.445604	25.336428	8.358127	1.728388	1.680552	0.945014	6.444558	2.595677	0.692789	1.954333	计算机、通信和其他电子设备制造业
000020	2016-12-31	B	C39	270.317613	1.353963	444.775735	0.822887	0.612848	0.146503	0.162699	0.105928	7.763833	0.154315	0.062812	0.145405	计算机、通信和其他电子设备制造业
000020	2017-12-31	A	C39	5.94614	61.38436	14.501089	25.170523	9.864444	21.823145	9.251591	2.459154	10.390125	3.040514	1.359553	2.67982	计算机、通信和其他电子设备制造业
000020	2017-12-31	B	C39			396.969507	0.919466	0.546977		2.314954	0.326539	6.182712	0.125317	0.090562	0.138196	计算机、通信和其他电子设备制造业
000020	2018-12-31	A	C39	4.79715	76.086843	9.187536	39.727735	7.817503	19.22503	11.642341	1.90631	3.494869	2.202419	1.021847	1.976439	计算机、通信和其他电子设备制造业
000020	2018-12-31	B	C39			398.642887	0.915606	0.549283		1.976636	0.309401	0.369734	0.112891	0.082712	0.124254	计算机、通信和其他电子设备制造业
