股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	净资产收益率B	投入资本回报率	投资收益率	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B
300573	2018-12-31	A	C27	0.020636	0.013009	0.016261	0.019122	0	6.140963	59.436932	2.1478	169.941335	13.655993	2.133325	1.027577	0.879391
300583	2017-12-31	A	C27	0.075414	0.057927	0.074241	0.050118	0.412515	6.085304	59.98057	3.393703	107.552134	7.049382	0.922107	1.594964	1.249952
300583	2018-12-31	A	C27	0.07474	0.054968	0.07114	0.06151	0.040202	6.541208	55.800091	1.836122	198.788534	7.545444	0.700038	2.079081	1.304981
300583	2019-12-31	A	C27	0.033075	0.016935	0.025495	0.029495	0.046128	5.398823	67.607328	1.060819	344.073777	4.438317	0.604486	1.186845	0.74381
300583	2020-12-31	A	C27	-0.054137	-0.065065	-0.105987	-0.061445	0.164096	6.370966	57.448117	1.275585	286.927175	3.689292	0.689508	0.864384	0.574378
300584	2017-12-31	A	C27	0.152892	0.130799	0.165283	0.115796	3.812136	10.016708	36.439118	2.318083	157.457692	3.733787	2.133404	2.658092	1.578626
300584	2018-12-31	A	C27	0.139539	0.116683	0.151506	0.122211	0.009372	9.516191	38.355682	1.932772	188.847934	2.77535	2.38183	2.844557	1.71812
300584	2020-12-31	A	C27	0.076462	0.061414	0.081813	0.071181	-0.02266	7.910526	46.267467	2.356106	155.341059	6.693159	2.217882	2.418773	1.240437
300601	2020-12-31	A	C27	0.110957	0.100346	0.132943	0.083696	0.006348	1.698094	215.535771	0.680308	537.991616	1.635633	0.63049	2.20847	0.710598
300630	2020-12-31	A	C27	0.195562	0.170613	0.255849	0.158524	-0.481247	2.558031	143.078798	3.663303	99.909835	2.252614	1.244106	2.602359	0.829587
300639	2017-12-31	A	C27	0.130881	0.111309	0.12463	0.091526	0.927112	2.761031	132.196995	2.336073	156.245117	4.660784	1.012693	1.871573	1.363685
300639	2018-12-31	A	C27	0.111746	0.094551	0.10409	0.097965	1.286289	2.513805	145.198215	2.634555	138.543321	4.446186	0.825209	1.992781	1.363379
300639	2019-12-31	A	C27	0.124718	0.110216	0.120947	0.115398	2.230703	2.451725	148.874772	3.386535	107.779781	4.590742	1.061757	2.142029	1.312694
300639	2020-12-31	A	C27	0.222046	0.190016	0.212243	0.149042	0.006195	2.989611	122.423954	5.163989	70.875441	5.908101	1.031307	2.979407	1.773858
300642	2017-12-31	A	C27	0.220402	0.198817	0.214122	0.133091	0.284928	6.489601	56.243828	0.921438	396.119978	9.891167	0.622716	2.858099	1.99995
300642	2018-12-31	A	C27	0.157391	0.139049	0.147594	0.132539	1.724481	5.009033	72.868356	1.05141	347.152871	10.030072	0.459193	2.684448	1.625436
300642	2019-12-31	A	C27	0.14881	0.133671	0.143213	0.12812	0.020189	4.865365	75.020065	0.99623	366.381257	8.098537	0.510096	2.439193	1.427573
300642	2020-12-31	A	C27	0.098839	0.092086	0.099007	0.093654	0.027269	4.071277	89.898084	1.180607	310.01002	7.011624	0.532689	1.969287	1.255144
300683	2019-12-31	A	C27	0.028355	0.028296	0.035266	0.027695	0.072452	2.960159	123.304187	2.640487	138.232076	5.799213	0.411496	3.125573	0.946327
300683	2020-12-31	A	C27	-0.02626	-0.011788	-0.014732	-0.024922	0.077792	3.304992	110.741569	3.392362	107.889429	5.471938	0.374797	2.193814	0.672284
300685	2017-12-31	A	C27	0.211063	0.179489	0.196563	0.148606	0.036538	2.630236	138.770818	2.744245	133.005617	2.927249	0.923878	2.842969	1.984418
