Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
600746	2017-12-31	A	C26	0.156447	0.116653	0.229053	0.375317	0.159241	0.138543	0.211001	0.179054	0.820946	0.128632	0.096527	0.024623	0.043979	0.001525	2.25119		化学原料及化学制品制造业
600746	2018-12-31	A	C26	0.008482	0.006074	0.010007	0.026326	0.007361	0.009144	0.010164	0.069534	0.930466	0.008864	0.007554	0.028256	0.042198	0.001621	1.744432	0.000045	化学原料及化学制品制造业
600746	2019-12-31	A	C26	-0.004482	-0.002745	-0.009811	-0.004912	-0.003877	-0.001883	-0.006043	0.091824	0.908176	-0.015352	-0.009546	0.026953	0.042991	0.001112	0.102712	0.044984	化学原料及化学制品制造业
600746	2020-12-31	A	C26	0.090121	0.064777	0.284615	0.108605	0.085905	0.079482	0.115785	0.155742	0.844258	0.080184	0.060949	0.001581	0.023336	0.005838	1.328649	0.039497	化学原料及化学制品制造业
600746	2021-12-31	A	C26	0.528459	0.450645	1.170838	1.066244	0.528216	0.375057	0.606024	0.416804	0.583196	0.355109	0.300118	0.001092	0.016325	-0.001378	0.03813	0.032027	化学原料及化学制品制造业
600750	2016-12-31	A	C27	0.15453	0.132227	0.243743	0.591548	0.15281	0.142309	0.177672	0.708702	0.291298	0.285362	0.243146	0.339976	0.068042	0.000145	0.062027		医药制造业
600750	2017-12-31	A	C27	0.143775	0.129931	0.22487	0.686288	0.151043	0.134352	0.162922	0.694019	0.305981	0.27656	0.239156	0.334198	0.068897	-0.005778	0.030377		医药制造业
600750	2018-12-31	A	C27	0.149778	0.130964	0.220674	0.616918	0.152455	0.135986	0.168129	0.674478	0.325522	0.312303	0.267904	0.28657	0.054372	-0.005788	0.095283	0.016876	医药制造业
600750	2019-12-31	A	C27	0.128108	0.111807	0.179045	0.480164	0.133589	0.115398	0.149003	0.666551	0.333449	0.231733	0.195736	0.354718	0.068087	-0.006802	0.012446	0.019396	医药制造业
600750	2020-12-31	A	C27	0.116977	0.101277	0.154751	0.470969	0.119947	0.110423	0.135935	0.653681	0.346319	0.235078	0.200833	0.334191	0.059934	-0.005351	-0.005179	0.022754	医药制造业
