Stkcd	Accper	Indcd	F100101B	F100201B	F100301B	F100401A	F100901A	F100902A	F100903A	F100904A	Indnme
股票代码	截止日期	行业代码	市盈率1	市销率1	市现率1	市净率	托宾Q值A	托宾Q值B	托宾Q值C	托宾Q值D	行业名称
000063	2019-12-31	C39	25.899404	1.648864	20.091479	3.941906	1.649357	1.74717	1.790767	1.896966	计算机、通信和其他电子设备制造业
000063	2020-12-31	C39	32.878487	1.530222	15.171248	3.365864	1.545838	1.650517	1.724398	1.841167	计算机、通信和其他电子设备制造业
000063	2021-12-31	C39	22.52475	1.383858	10.079269	2.974078	1.512459	1.588657	1.623322	1.705106	计算机、通信和其他电子设备制造业
000066	2016-12-31	C39	76.714819	0.238188	7.936778	1.732272	1.17034	1.174099	1.170343	1.174102	计算机、通信和其他电子设备制造业
000066	2017-12-31	C39	30.832834	2.257561		2.839456	1.773876	1.825002	1.914621	1.969803	计算机、通信和其他电子设备制造业
000066	2018-12-31	C39	13.174818	1.390424	310.241386	2.092712	1.385229	1.429619	1.454124	1.500723	计算机、通信和其他电子设备制造业
000066	2019-12-31	C39	39.080474	4.201717	417.415669	5.26689	2.448832	2.504471	2.703302	2.764723	计算机、通信和其他电子设备制造业
000066	2020-12-31	C39	57.056233	3.84922	332.48295	5.949067	2.680101	2.733751	2.680301	2.733955	计算机、通信和其他电子设备制造业
000068	2016-12-31	C39	960.131934	28.146983	174.095108	10.457522	6.135717	6.478485	6.765746	7.14371	计算机、通信和其他电子设备制造业
000068	2017-12-31	C39	155.730847	12.311275	284.537848	4.652817	2.26796	2.323759	2.423508	2.483134	计算机、通信和其他电子设备制造业
000068	2018-12-31	C39		20.778958		4.569154	1.970471	2.001934	1.970471	2.001934	计算机、通信和其他电子设备制造业
000068	2019-12-31	C39	582.286821	18.649873	166.135725	4.384413	1.855819	1.917845	1.855819	1.917845	计算机、通信和其他电子设备制造业
000070	2016-12-31	C38	34.611529	1.718914	26.386279	3.864065	2.002546	2.145797	2.160111	2.314633	电气机械及器材制造业
000070	2017-12-31	C38	19.68029	1.069989	23.152632	2.469175	1.494684	1.581157	1.57243	1.663402	电气机械及器材制造业
000070	2018-12-31	C38	14.214282	0.780172		1.61236	1.214334	1.318533	1.223843	1.328857	电气机械及器材制造业
000070	2019-12-31	C38	25.539482	1.899258		2.584131	1.69243	1.851967	1.711043	1.872335	电气机械及器材制造业
000070	2020-12-31	C38	128.977494	1.592546	116.14607	2.141418	1.367616	1.456352	1.377478	1.466854	电气机械及器材制造业
000100	2016-12-31	C39	18.855858	0.378289	5.020571	0.881049	0.972744	1.009758	0.963017	0.999661	计算机、通信和其他电子设备制造业
000100	2017-12-31	C39	14.869625	0.472094	5.723192	0.973504	0.994039	1.03803	0.991051	1.034909	计算机、通信和其他电子设备制造业
000100	2018-12-31	C39	8.166057	0.292617	3.165631	0.545354	0.875775	0.905422	0.85643	0.885423	计算机、通信和其他电子设备制造业
000100	2019-12-31	C39	16.532674	0.805459	5.262978	0.946605	0.980635	1.015675	0.979308	1.0143	计算机、通信和其他电子设备制造业
000100	2020-12-31	C39	19.611842	1.292951	5.948994	1.103056	1.03247	1.105315	1.035985	1.109079	计算机、通信和其他电子设备制造业
000153	2016-12-31	C27	88.019936	1.97843	51.443606	3.490278	2.152123	2.275518	2.152729	2.276159	医药制造业
000153	2017-12-31	C27	38.380343	0.97284	47.868667	2.055038	1.457748	1.530342	1.465231	1.538198	医药制造业
000153	2018-12-31	C27	26.898676	0.541897	6.990592	1.264102	1.111594	1.168498	1.113419	1.170416	医药制造业
000153	2019-12-31	C27	25.595718	0.637187	31.160714	1.554687	1.206693	1.258915	1.206802	1.259028	医药制造业
000153	2020-12-31	C27	26.90435	0.827068	9.382789	1.897021	1.357016	1.422744	1.357204	1.42294	医药制造业
000155	2017-12-31	C26	20.07116	1.176518		2.083099	1.433057	1.44085	1.586835	1.595465	化学原料及化学制品制造业
000155	2018-12-31	C26	11.125935	1.070214	7.081177	1.206835	1.079989	1.091086	1.108393	1.119782	化学原料及化学制品制造业
000155	2019-12-31	C26	16.692328	2.681042	7.151376	1.302459	1.176232	1.188508	1.176232	1.188508	化学原料及化学制品制造业
000157	2016-12-31	C35		1.737802	16.045283	0.92063	0.972495	1.054208	0.966348	1.047544	专用设备制造业
000157	2017-12-31	C35	27.91657	1.496995	12.219691	0.911375	0.967453	1.045745	0.959255	1.036883	专用设备制造业
000157	2018-12-31	C35	14.207275	0.968702	5.489284	0.717036	0.905477	0.968668	0.882619	0.944214	专用设备制造业
000157	2019-12-31	C35	12.304892	1.214685	8.458253	1.33065	1.114217	1.193292	1.141511	1.222524	专用设备制造业
000157	2020-12-31	C35	10.683968	1.206948	10.588217	1.641015	1.216687	1.290444	1.263997	1.340622	专用设备制造业
000157	2021-12-31	C35	9.743338	0.926868	23.705792	1.067311	1.026186	1.0926	1.032159	1.09896	专用设备制造业
000301	2018-12-31	C28	45.257613	2.077811	27.605861	2.957057	1.125006	1.206538	1.413429	1.515865	化学纤维制造业
000301	2019-12-31	C28	22.547631	1.460573	6.970192	2.375842	1.048065	1.115764	1.158965	1.233828	化学纤维制造业
000301	2020-12-31	C28	237.148352	3.256115	35.978742	3.289205	1.0903	1.143598	1.370019	1.436991	化学纤维制造业
000333	2016-12-31	C38	11.470462	1.141432	6.815636	2.637753	1.633562	1.763828	1.662171	1.794717	电气机械及器材制造业
000333	2017-12-31	C38	19.540887	1.504871	14.878893	4.385631	2.095017	2.547531	2.131585	2.591997	电气机械及器材制造业
000333	2018-12-31	C38	11.34386	0.938048	8.81514	2.656434	1.562965	1.887038	1.575703	1.902417	电气机械及器材制造业
000333	2019-12-31	C38	16.066419	1.45362	10.523683	3.777934	1.965482	2.297988	1.988944	2.325419	电气机械及器材制造业
000333	2020-12-31	C38	25.158773	2.422147	23.41334	5.570243	2.534548	2.896	2.57553	2.942827	电气机械及器材制造业
000338	2016-12-31	C36	11.074371	0.427396	4.82717	0.893733	0.984405	1.396602	0.971124	1.377759	汽车制造业
000338	2017-12-31	C36	7.266758	0.440042	4.102325	1.183515	1.029427	1.363116	1.054535	1.396363	汽车制造业
000338	2018-12-31	C36	5.296761	0.386666	2.766138	0.989068	0.998213	1.28923	0.996685	1.287255	汽车制造业
000338	2019-12-31	C36	10.581158	0.722581	5.285989	1.805667	1.127001	1.407947	1.237363	1.545821	汽车制造业
000338	2020-12-31	C36	11.1111	0.634337	5.463844	1.557512	1.088602	1.326109	1.165623	1.419935	汽车制造业
000338	2021-12-31	C36	13.502819	0.766985	10.65103	1.516274	1.111038	1.319422	1.19187	1.415414	汽车制造业
000400	2016-12-31	C38	19.459235	1.904978	14.675948	2.42382	1.549823	1.57437	1.751747	1.779491	电气机械及器材制造业
000400	2017-12-31	C38	19.507261	1.287406		1.636954	1.338	1.373237	1.338049	1.373287	电气机械及器材制造业
000400	2018-12-31	C38	32.750132	1.090971	19.350709	1.073148	1.04191	1.078313	1.041916	1.078319	电气机械及器材制造业
000400	2019-12-31	C38	21.962701	1.069279	142.832204	1.251572	1.144651	1.194106	1.144659	1.194115	电气机械及器材制造业
000400	2020-12-31	C38	18.165791	1.302846	18.610125	1.584965	1.320175	1.386391	1.320193	1.386411	电气机械及器材制造业
